"","ecatalogue_key","irn","RegRegistrationNumber","Class","Order","Family","binomial","ScientificName","TypeStatus","Country","Locality","Extent_km","Certainty_Percent","Type","Notes","geometry"
"11",86941,3633330,"1947.2.15.63-65","Amphibia","Anura","Leptodactylidae","Oreobates_discoidalis","Eleutherodactylus discoidalis (Peracca,  1895)","syntypes","Argentina","Tucuman | Tucuman",10.51,100,"2.3","Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. ",c(-65.218705, -26.808679)
"12",86943,3633516,"1947.2.17.96-99","Amphibia","Anura","Leptodactylidae","Pleurodema_cinereum","Pleurodema cinerea Cope, 1877","syntypes","Argentina","Tucuman | Tucuman",10.51,100,"2.3","Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. ",c(-65.218705, -26.808679)
"13",76940,1949533,"1902.7.29.75","Amphibia","Anura","Leptodactylidae","Pleurodema_tucumanum","Pleurodema tucumana Parker, 1927","Type","Argentina","Tapia, Tucuman, 2300ft",2.61,100,"2.3","Ft converted to M using https://www.metric-conversions.org/, 701m matches altitudes in and around Tapia provided by google earth. Tapia is a small town or village. Centre taken from google maps auto pin, extent determined to be to the furthest continuous building along the road, as well as being 700m altitude, as no polygon given this time (Tapia exists on a road and only extends a single building back from it, but has a length of roughly 2km, hence extent being 1.03km). 100 certain this is the place as no other records of a Tapia have appeared in searches",c(-65.279069, -26.593805)
"14",5919,1948466,"1898.11.24.7","Amphibia","Anura","Leptodactylidae","Leptodactylus_laticeps","Leptodactylus laticeps","Type","Argentina","Santa Fe",444.76,50,"2.2","Santa Fe is a province of argentina, which also contains a city of the same name. Google maps centre point for Santa Fe Province is roughly 12km from the google maps centre of Santa Fe city. The furthest point of the province from the centre point is 444.76km to the N.N.E. if done by the google maps polygon.Reltively low certainty score as I cannot say which Santa Fe this is (however the provinical level does cover the whole of Santa Fe city).",c(-60.757894, -31.594026)
"15",80979,1949196,"1913.9.10.48","Amphibia","Anura","Leptodactylidae","Physalaemus_fernandezae","Physalaemus barbouri","Type","Argentina","La Plata",3.75,25,"2.3","la Plata appears to be a district within a larger town. Centre point determined by google maps, no pin was automatically dropped, however the name was placed centrally by google so this was used. Extent determined from googles auto generated polygon. Uncertainty is due to the fact that La Plata could extend much further if the surrounding suburban areas are included (or if La Plata has sprawlled and merged since data collection). ",c(-57.954098, -34.920672)
"16",86945,3633518,"1947.2.18.1","Amphibia","Anura","Leptodactylidae","Pleurodema_cinereum","Pleurodema cinerea Cope, 1877","syntype","Argentina","Tucuman | Tucuman",10.51,100,"2.3","Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. ",c(-65.218705, -26.808679)
"17",86945,3633518,"1947.2.18.1","Amphibia","Anura","Leptodactylidae","Pleurodema_cinereum","Pleurodema cinerea Cope, 1877","syntype","Argentina","Tucuman | Tucuman",10.51,100,"2.3","Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. ",c(-65.218705, -26.808679)
"18",86945,3633518,"1947.2.18.1","Amphibia","Anura","Leptodactylidae","Pleurodema_cinereum","Pleurodema cinerea Cope, 1877","syntype","Argentina","Tucuman | Tucuman",10.51,100,"2.3","Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. ",c(-65.218705, -26.808679)
"19",46472,1947085,"1947.2.17.30-31","Amphibia","Anura","Leptodactylidae","Ceratophrys_ornata","Ceratophrys ornata","Types","Argentina","Buenos Aires",505.59,75,"2.2","Buenos Aires province, contains Buenos Aires city but cannot narrow it down to there hence the uncertainty. Centre point taken from google earth, extent measured to the edge of the google provided polygon's furthest extreme from the centre point.",c(-59.842006, -37.200121)
"20",46470,1949464,"1845.5.25.31","Amphibia","Anura","Leptodactylidae","Pleurodema_bufoninum","Pleurodema bufonina","Type","Argentina","Port Desire",2.06,75,"2.3","Puerto deseado, a port town in patagonia (no english name given on google maps however the Spanish translates to Port Desire). Centre point taken from googles name placement, extent measured from there to the furthest point of the polygon google supplies. Uncertainty as no english given. ",c(-65.901312, -47.751757)
"21",46481,1949470,"1845.5.22.28","Amphibia","Anura","Leptodactylidae","Pleurodema_bufoninum","Pleurodema bufonina","Type","Argentina","Port Desire",2.06,75,"2.3","Puerto deseado, a port town in patagonia (no english name given on google maps however the Spanish translates to Port Desire). Centre point taken from googles name placement, extent measured from there to the furthest point of the polygon google supplies. Uncertainty as no english given. ",c(-65.901312, -47.751757)
"22",46485,1949462,"1933.3.7.58","Amphibia","Anura","Leptodactylidae","Pleurodema_bufoninum","Pleurodema bufonina","Type","Argentina","Port Desire",2.06,75,"2.3","Puerto deseado, a port town in patagonia (no english name given on google maps however the Spanish translates to Port Desire). Centre point taken from googles name placement, extent measured from there to the furthest point of the polygon google supplies. Uncertainty as no english given. ",c(-65.901312, -47.751757)
"23",4385,1925648,"1929.8.1.127","Amphibia","Anura","Hylidae","Scinax_fuscomarginatus","Hyla parkeri","Paratypes","Bolivia","Buenavista",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"24",12230,1925647,"1929.8.1.125-126","Amphibia","Anura","Hylidae","Scinax_fuscomarginatus","Hyla parkeri","Paratypes","Bolivia","Buenavista",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"25",30313,1925649,"1929.8.1.128-134","Amphibia","Anura","Hylidae","Scinax_fuscomarginatus","Hyla parkeri","Paratypes","Bolivia","Buenavista",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"26",78572,1926826,"1901.8.2.49-50","Amphibia","Anura","Hylidae","Phyllomedusa_boliviana","Phyllomedusa boliviana","Types","Bolivia","Chulumani, 2000m",1.59,50,"2.3","Chulumani is a village or town, all of which is below 2000m (but mostly quite close e.g. 1800m) closest point that is 2000m is 1.59km away from centroid (defined by google maps default placement). Low certainty as determining extent when combining altitude and locality is difficult.",c(-67.527305, -16.409135)
"27",81654,1926085,"1904.10.29.173-175","Amphibia","Anura","Hylidae","Boana_steinbachi","Hyla steinbachi","Types","Bolivia","Prov. Sara",91.42,100,"2.2","Sara province, Bolivia. Centroid taken from google maps placement, extent measured to furthest point of province polygon provided by google maps. ",c(-63.628372, -16.925392)
"28",60929,1949736,"1940.4.1.34-45","Amphibia","Anura","Leptodactylidae","Telmatobius_culeus","Telmatobius culeus albiventris","Cotypes","Bolivia","Taraco, Lago Pequeno, Lake Titicaca",0.94,50,"2.3","Taraco is a small, nuclear village near the shores of Lake Titicaca, scattered properties beyond the nucleaus also appear to be part of the village. Centroid determined by google maps, extent taken by visually inspecting where the furthest property that still appears to be associated with Taraco boundary is and measuring to it. Low certainty as the lake shore is only 2km away, so specimen could have been collected from there given the locality description.",c(-68.857011, -16.459766)
"29",81702,3633522,"1947.2.18.3","Amphibia","Anura","Leptodactylidae","Pseudopaludicola_boliviana","Pseudopaludicola boliviana Parker, 1927","holotype","Bolivia","Buenavista, Santa Cruz",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"30",78547,1949769,"1902.5.29.103","Amphibia","Anura","Leptodactylidae","Telmatobius_simonsi","Telmatobius simonsi","Holotype","Bolivia","Sucre, 2800m",6.75,75,"2.3","Sucre is a town, whose boundaries (marked by google maps polygon) encompass an area almost entirely within the 2800m altitude limit, the only exception is the southern boundary, which is slightly more mountainous, so has an altitude more like 3000m. Centroid taken from google maps default. Extent was measured from centroid to encompass both boundary and altitude, favouring the altitude limit. Locality is correct, but altitude vs boundary issues provide some uncertainty. ",c(-65.263019, -19.020476)
"31",81605,1949586,"1927.8.1.4","Amphibia","Anura","Leptodactylidae","Pseudopaludicola_boliviana","Pseudopaludicola boliviana Parker, 1927","Paratype","Bolivia","Buenavista, Santa Cruz",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"32",81607,1949584,"1927.8.1.3","Amphibia","Anura","Leptodactylidae","Pseudopaludicola_boliviana","Pseudopaludicola boliviana Parker, 1927","Paratype","Bolivia","Buenavista, Santa Cruz",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"33",81615,1949588,"1927.8.1.5","Amphibia","Anura","Leptodactylidae","Pseudopaludicola_boliviana","Pseudopaludicola boliviana Parker, 1927","Paratype","Bolivia","Buenavista, Santa Cruz",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"34",81690,3633526,"1947.2.18.5","Amphibia","Anura","Leptodactylidae","Pseudopaludicola_boliviana","Pseudopaludicola boliviana Parker, 1927","paratype","Bolivia","Buenavista, Santa Cruz",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"35",81700,3633524,"1947.2.18.4","Amphibia","Anura","Leptodactylidae","Pseudopaludicola_boliviana","Pseudopaludicola boliviana Parker, 1927","paratype","Bolivia","Buenavista, Santa Cruz",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"36",81701,3633528,"1947.2.18.6","Amphibia","Anura","Leptodactylidae","Pseudopaludicola_boliviana","Pseudopaludicola boliviana Parker, 1927","paratype","Bolivia","Buenavista, Santa Cruz",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"37",78550,1949772,"1902.5.29.174","Amphibia","Anura","Leptodactylidae","Telmatobius_simonsi","Telmatobius simonsi","Paratype","Bolivia","Parotani, 2600m",1.86,75,"2.3","Town in Bolivia. Centroid taken from google standard (whats here pin drop), extent measured from there to edge of polygon, and watching altitude (on google earth). Extremes of polygon have approximate altitude of 2600m, so furthest extent of polygon used. Some uncertainty as nowhere in polygon matches 2600m exactly.",c(-66.34713, -17.567111)
"38",78548,1949770,"1902.5.29.100-101","Amphibia","Anura","Leptodactylidae","Telmatobius_simonsi","Telmatobius simonsi","Paratypes","Bolivia","Sucre, 2800m",6.75,75,"2.3","Sucre is a town, whose boundaries (marked by google maps polygon) encompass an area almost entirely within the 2800m altitude limit, the only exception is the southern boundary, which is slightly more mountainous, so has an altitude more like 3000m. Centroid taken from google maps default. Extent was measured from centroid to encompass both boundary and altitude, favouring the altitude limit. Locality is correct, but altitude vs boundary issues provide some uncertainty. ",c(-65.263019, -19.020476)
"39",78549,1949771,"1902.5.29.104-105","Amphibia","Anura","Leptodactylidae","Telmatobius_simonsi","Telmatobius simonsi","Paratypes","Bolivia","Sucre, 2800m",6.75,75,"2.3","Sucre is a town, whose boundaries (marked by google maps polygon) encompass an area almost entirely within the 2800m altitude limit, the only exception is the southern boundary, which is slightly more mountainous, so has an altitude more like 3000m. Centroid taken from google maps default. Extent was measured from centroid to encompass both boundary and altitude, favouring the altitude limit. Locality is correct, but altitude vs boundary issues provide some uncertainty. ",c(-65.263019, -19.020476)
"40",81608,1949582,"1927.8.1.2","Amphibia","Anura","Leptodactylidae","Pseudopaludicola_boliviana","Pseudopaludicola boliviana Parker, 1927","Type","Bolivia","Buenavista, Santa Cruz",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"41",34714,3343589,"1947.2.11.26","Amphibia","Anura","Microhylidae","Hamptophryne_boliviana","Hamptophryne boliviana Parker, 1927","holotype","Bolivia","Buena Vista, Bolivia",2.33,100,"2.3","Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. ",c(-63.669163, -17.458829)
"42",78651,3633338,"1947.2.15.70","Amphibia","Anura","Ranidae","Oreobates_cruralis","Eleutherodactylus cruralis (Boulenger, 1902)","holotype","Bolivia","La Paz",15.18,100,"2.3","Administrative capital.  Centroid taken from google maps designation. Altitude within La Paz polygon ranged from 3000-4300m, measuring extent is tricky because of this. Furthest point in district is 15.92km and 3021m altitude. Furthest point of 4000m altitude is 12.81km. Certian this is correct location, as no name conflicts for La Paz Bolivia came up",c(-68.120535, -16.492201)
"43",54995,3339683,"1902.12.8.5","Amphibia","Anura","Bufonidae","Melanophryniscus_tumifrons","Melanophryniscus tumifrons (Boulenger, 1905)","holotype","Brazil","Pernambuco, [Brazil]",376.04,100,"2.2","State in eastern Brazil. Centroid found by google maps searching locality description. Taken from the what's here pin drop done on the name of the state (i.e. google default centroid). Extent measured to the furthest point of the area polygon supplied by google maps. High certainty as no naming conflicts appeared and area covered is an overestimation in several dimensions. ",c(-38.11793, -8.345814)
"44",4905,3337517,"1869.2.22.8","Amphibia","Anura","Bufonidae","Dendrophryniscus_proboscideus","Rhamphophryne proboscoidea (Boulenger, 1882)","syntype","Brazil","Bahia, [Brazil]",685.72,100,"2.2","State in Brazil. Centroid taken from google maps, extent measured to the furthest point of the state to the centriod. This overcompensates as state is not circular, and locality provided no conflicts so high certainty. ",c(-41.406018, -12.357982)
"45",7567,3337541,"1869.11.3.24","Amphibia","Anura","Bufonidae","Dendrophryniscus_proboscideus","Rhamphophryne proboscoidea (Boulenger, 1882)","syntype","Brazil","Bahia, [Brazil]",685.72,100,"2.2","State in Brazil. Centroid taken from google maps, extent measured to the furthest point of the state to the centriod. This overcompensates as state is not circular, and locality provided no conflicts so high certainty. ",c(-41.406018, -12.357982)
"46",15411,3337543,"1869.11.3.28","Amphibia","Anura","Bufonidae","Dendrophryniscus_proboscideus","Rhamphophryne proboscoidea (Boulenger, 1882)","syntype","Brazil","Bahia, [Brazil]",685.72,100,"2.2","State in Brazil. Centroid taken from google maps, extent measured to the furthest point of the state polygon to the centriod. This overcompensates as state is not circular, and locality provided no conflicts so high certainty. ",c(-41.406018, -12.357982)
"47",34162,1834953,"1923.11.9.15","Amphibia","Anura","Bufonidae","Rhinella_nattereri","Bufo granulosus","Holotype","Brazil","Marajo Island, mouth of the Amazon",155.88,100,"2.4","Island in the mouth of the Amazon. Western border less defined than the others as it is created by a number of smaller rivers. Centroid take from google maps pin placement, extent measured to edge of island in all directions from centriod (borders defined by unbroken waterways). High certainty as no naming conflicts appeared in search, and island extent is relatively clear. ",c(-49.63819, -0.939124)
"48",36045,1834959,"1923.11.9.16-19","Amphibia","Anura","Bufonidae","Rhinella_nattereri","Bufo granulosus","Paratypes","Brazil","Marajo Island, mouth of the Amazon",155.88,100,"2.4","Island in the mouth of the Amazon. Western border less defined than the others as it is created by a number of smaller rivers. Centroid take from google maps pin placement, extent measured to edge of island in all directions from centriod (borders defined by unbroken waterways). High certainty as no naming conflicts appeared in search, and island extent is relatively clear. ",c(-49.63819, -0.939124)
"49",9062,1927274,"1893.12.22.16","Amphibia","Anura","Centrolenidae","Vitreorana_parvula","Centrolenella parvula","Cotype","Brazil","Teresopolis",40.13,50,"2.2","There are two Teresopolis in Brazil, sadly quite far apart. One is the Municipality located in the state or Rio de Janeiro, the other is a district of Porto Alegre, in the state of Rio grande do sul. I think it is more likely to be the municipality based on flora cover and species range (http://amphibiaweb.org:8000/cgi/amphib_query?where-genus=Dendropsophus&where-species=microps), so the coordinates are for there. Google maps searched locality description followed by 'Brazil'. Centroid is taken from google maps default (what's here pin dropped on locality name), extent measured from there to the furthest edge of area polygon provided by google maps using the measure distance tool. Low certainty as it is possible that this specimen was collected from the other Teresopolis. ",c(-42.975393, -22.417932)
"50",24248,1927273,"1888.2.7.32","Amphibia","Anura","Centrolenidae","Vitreorana_parvula","Centrolenella parvula","Cotype","Brazil","Lages, Santa Catarina",8.48,100,"2.3","Formerly Lajens, a small town within the state of Santa Catarina. Centroid taken from google maps default, extent measured to furthest point of the google maps polygon. High certainty as both state and place name line up, and extent over compensates in several directions. ",c(-50.325704, -27.816393)
"51",16787,1925332,"1947.2.12.94-96","Amphibia","Anura","Hylidae","Boana_cinerascens","Hyla granosa","Cotype","Brazil","Santarem",12.41,100,"2.3","Town on the banks of the Amazon in Brazil. Centroid taken from google maps, extent measured as distance from centroid to furthest extent of polygon provided by google maps. High certainty as this overestimates size of Santarem. ",c(-54.701789, -2.451857)
"52",41332,1925333,"1875.10.22.7-9","Amphibia","Anura","Hylidae","Boana_cinerascens","Hyla granosa","Cotype","Brazil","Santarem",12.41,100,"2.3","Town on the banks of the Amazon in Brazil. Centroid taken from google maps, extent measured as distance from centroid to furthest extent of polygon provided by google maps. High certainty as this overestimates size of Santarem. ",c(-54.701789, -2.451857)
"53",48074,1926829,"1874.5.21.6","Amphibia","Anura","Hylidae","Phyllomedusa_burmeisteri","Phyllomedusa burmeisteri","Cotypes","Brazil","Rio de Janeiro",292.89,100,"2.2","Both the state and the city have the same name, so cannot localise beyond state level. Centroid taken from google maps, extent measured to furthest point on google maps polygon. High certainty as state includes all of the city of the same name, and extent will overcompensate is most directions. ",c(-43.235426, -22.881962)
"54",1158,1925630,"1964.171","Amphibia","Anura","Hylidae","Dendropsophus_oliveirai","Hyla oliveirai","Paratype","Brazil","Maracas, Bahia",2.51,75,"2.1","REDO municiplaity in Bahia state containing town of same name. ",c(-40.432862, -13.436249)
"55",1976,1924988,"1961.1663","Amphibia","Anura","Hylidae","Boana_bischoffi","Hyla bischoffi multilineata","Paratype","Brazil","Sao Paulo",661.4,100,"2.2","State and city both have same name so cannot localise beyond state. Centroid taken from google maps placement, extent measured to furthest point of the locality polygon google maps provides. High level of overcompensation, so certianty is high.",c(-46.761498, -23.544395)
"56",16613,1925408,"1964.172","Amphibia","Anura","Hylidae","Dendropsophus_leali","Hyla leali","Paratype","Brazil","Forte Principe da Beira, Rondonia",0.51,100,"2.3","An old fort on the Brazil side of the Brazil/Bolivia border, on the river the Rio Itenez O Guapore. Centroid taken from google maps automatic pin placement. Extent measured from centroid to the furthest extent of the surrounding properties. High certainty as no naming conflicts and slight overcompensation in extent measurement. ",c(-64.4229, -12.428006)
"57",16735,1925451,"1964.2008","Amphibia","Anura","Hylidae","Scinax_madeirae","Hyla madeirae","Paratype","Brazil","Porto Velho, Rondonia Territory",12.03,100,"2.3","Porto Velho in Rondonia State (no longer a territory). Centroid taken from google maps automatic placement, extent measured to furthest point of locality polygon (provided by google maps). High certainty as no naming conflicts and overestimation of extent in most directions. ",c(-63.900578, -8.762657)
"58",22435,1925284,"1869.11.3.25","Amphibia","Anura","Hylidae","Dendropsophus_oliveirai","Hyla geographica","Paratype","Brazil","Bahia",685.72,100,"2.2","State in Brazil. Centroid taken from google maps, extent measured to the furthest point of the state to the centriod. This overcompensates as state is not circular, and locality provided no conflicts so high certainty. ",c(-41.406018, -12.357982)
"59",53208,1926857,"1940.4.24.13","Amphibia","Anura","Hylidae","Phasmahyla_guttata","Phyllomedusa guttata","Topotypes","Brazil","Tijuca, Federal district, Rio",3.41,100,"2.2","Nieghbourhood in the Northern zone of Rio de Janeiro city. Centroid taken from google maps autoplacment, extnet measured to the furthest point of the google maps extent polygon. High certainty as no naming conflicts and extent overestimates polygon in several areas. ",c(-43.240949, -22.933009)
"60",271,1925355,"1862.5.7.9","Amphibia","Anura","Hylidae","Boana_guentheri","Hyla guentheri","Type","Brazil","Rio Grande",51.74,25,"2.5","Copied from Naomi. Rio Grande. Used Google Maps for river and protocol to measure geographic center; extent measured equal to half the length of river. I gave 25% certainty score because it was unclear whether this was Rio Granda the river, or Rio Grande the district. However, this species distribution seems more likely to be the river.",c(-49.769785, -20.07096)
"61",21066,1926354,"1896.1.20.3","Amphibia","Anura","Hylidae","Corythomantis_greeningi","Corythomantis greeningi","Type","Brazil","State of Espirito Santo",276.22,100,"2.2","State in Southeastern Brazil. Centroid taken from google maps autoplacement, extent measured to the furthest point of the google maps extent polygon. High certainty as no naming conflicts and slight overcompensation of extent. ",c(-40.317574, -19.182446)
"62",30314,1926938,"1874.6.5.1","Amphibia","Anura","Hylidae","Phyllomedusa_vaillantii","Phyllomedusa vaillantii","Type","Brazil","Santarem",12.41,100,"2.3","Town on the banks of the Amazon in Brazil. Centroid taken from google maps, extent measured as distance from centroid to furthest extent of polygon provided by google maps. High certainty as this overestimates size of Santarem. ",c(-54.701789, -2.451857)
"63",41333,1925391,"1875.10.22.6","Amphibia","Anura","Hylidae","Dryaderces_inframaculata","Hyla inframaculata","Type","Brazil","Santarem",12.41,100,"2.3","Town on the banks of the Amazon in Brazil. Centroid taken from google maps, extent measured as distance from centroid to furthest extent of polygon provided by google maps. High certainty as this overestimates size of Santarem. ",c(-54.701789, -2.451857)
"64",50251,1925503,"1914.3.20.9","Amphibia","Anura","Hylidae","Dendropsophus_microps","Hyla microps","Type","Brazil","Teresopolis",40.13,50,"2.2","There are two Teresopolis in Brazil, sadly quite far apart. One is the Municipality located in the state or Rio de Janeiro, the other is a district of Porto Alegre, in the state of Rio grande do sul. I think it is more likely to be the municipality based on flora cover and species range (http://amphibiaweb.org:8000/cgi/amphib_query?where-genus=Dendropsophus&where-species=microps), so the coordinates are for there. Google maps searched locality description followed by 'Brazil'. Centroid is taken from google maps default (what's here pin dropped on locality name), extent measured from there to the furthest edge of area polygon provided by google maps using the measure distance tool. Low certainty as it is possible that this specimen was collected from the other Teresopolis. ",c(-42.975393, -22.417932)
