ecatalogue_key,irn,RegRegistrationNumber,Class,Order,Family,UpdatedScientificName,ScientificName,TypeStatus,Country,Locality,Latitude,Longitude,Extent_km,Certainty_Percent,Type,Notes
76942,1949537,1902.7.29.76-77,Amphibia,Anura,Leptodactylidae,Pleurodema tucumanum,"Pleurodema tucumana Parker, 1927",Paratypes,Argentina,Laguna de Mabrias,,,,,,No match. Image results and general googling point to potentially a lake in buenos aires province.
76944,1949539,1904.6.30.37-38,Amphibia,Anura,Leptodactylidae,Pleurodema tucumanum,"Pleurodema tucumana Parker, 1927",Paratypes,Argentina,"Los Bosques, near Argentina, 260ft",,,,,,"Cannnot find, reference is made to it if google searched but no area appears on google maps"
44364,3633512,1947.2.17.94,Amphibia,Anura,Leptodactylidae,Pleurodema bufoninum,"Pleurodema bufonina Bell, 1843",syntype,Argentina,"Port Desire | Port Desire, Patagonia",-47.751757,-65.901312,2.06,75,2.3,"Puerto deseado, a port town in patagonia (no english name given on google maps however the Spanish translates to Port Desire). Centre point taken from googles name placement, extent measured from there to the furthest point of the polygon google supplies. Uncertainty as no english given. "
44371,3633510,1947.2.17.93,Amphibia,Anura,Leptodactylidae,Pleurodema bufoninum,"Pleurodema bufonina Bell, 1843",syntype,Argentina,"Port Desire | Port Desire, Patagonia",-47.751757,-65.901312,2.06,75,2.3,"Puerto deseado, a port town in patagonia (no english name given on google maps however the Spanish translates to Port Desire). Centre point taken from googles name placement, extent measured from there to the furthest point of the polygon google supplies. Uncertainty as no english given. "
86945,3633518,1947.2.18.1,Amphibia,Anura,Leptodactylidae,Pleurodema cinereum,"Pleurodema cinerea Cope, 1877",syntype,Argentina,Tucuman | Tucuman,-26.808679,-65.218705,10.51,100,2.3,"Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. "
86941,3633330,1947.2.15.63-65,Amphibia,Anura,Leptodactylidae,Oreobates discoidalis,"Eleutherodactylus discoidalis (Peracca,  1895)",syntypes,Argentina,Tucuman | Tucuman,-26.808679,-65.218705,10.51,100,2.3,"Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. "
86943,3633516,1947.2.17.96-99,Amphibia,Anura,Leptodactylidae,Pleurodema cinereum,"Pleurodema cinerea Cope, 1877",syntypes,Argentina,Tucuman | Tucuman,-26.808679,-65.218705,10.51,100,2.3,"Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. "
76940,1949533,1902.7.29.75,Amphibia,Anura,Leptodactylidae,Pleurodema tucumanum,"Pleurodema tucumana Parker, 1927",Type,Argentina,"Tapia, Tucuman, 2300ft",-26.593805,-65.279069,2.61,100,2.3,"Ft converted to M using https://www.metric-conversions.org/, 701m matches altitudes in and around Tapia provided by google earth. Tapia is a small town or village. Centre taken from google maps auto pin, extent determined to be to the furthest continuous building along the road, as well as being 700m altitude, as no polygon given this time (Tapia exists on a road and only extends a single building back from it, but has a length of roughly 2km, hence extent being 1.03km). 100 certain this is the place as no other records of a Tapia have appeared in searches"
5919,1948466,1898.11.24.7,Amphibia,Anura,Leptodactylidae,Leptodactylus laticeps,Leptodactylus laticeps,Type,Argentina,Santa Fe,-31.594026,-60.757894,444.76,50,2.2,"Santa Fe is a province of argentina, which also contains a city of the same name. Google maps centre point for Santa Fe Province is roughly 12km from the google maps centre of Santa Fe city. The furthest point of the province from the centre point is 444.76km to the N.N.E. if done by the google maps polygon.Reltively low certainty score as I cannot say which Santa Fe this is (however the provinical level does cover the whole of Santa Fe city)."
80979,1949196,1913.9.10.48,Amphibia,Anura,Leptodactylidae,Physalaemus fernandezae,Physalaemus barbouri,Type,Argentina,La Plata,-34.920672,-57.954098,3.75,25,2.3,"la Plata appears to be a district within a larger town. Centre point determined by google maps, no pin was automatically dropped, however the name was placed centrally by google so this was used. Extent determined from googles auto generated polygon. Uncertainty is due to the fact that La Plata could extend much further if the surrounding suburban areas are included (or if La Plata has sprawlled and merged since data collection). "
86945,3633518,1947.2.18.1,Amphibia,Anura,Leptodactylidae,Pleurodema cinereum,"Pleurodema cinerea Cope, 1877",syntype,Argentina,Tucuman | Tucuman,-26.808679,-65.218705,10.51,100,2.3,"Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. "
86945,3633518,1947.2.18.1,Amphibia,Anura,Leptodactylidae,Pleurodema cinereum,"Pleurodema cinerea Cope, 1877",syntype,Argentina,Tucuman | Tucuman,-26.808679,-65.218705,10.51,100,2.3,"Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. "
86945,3633518,1947.2.18.1,Amphibia,Anura,Leptodactylidae,Pleurodema cinereum,"Pleurodema cinerea Cope, 1877",syntype,Argentina,Tucuman | Tucuman,-26.808679,-65.218705,10.51,100,2.3,"Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. "
46472,1947085,1947.2.17.30-31,Amphibia,Anura,Leptodactylidae,Ceratophrys ornata,Ceratophrys ornata,Types,Argentina,Buenos Aires,-37.200121,-59.842006,505.59,75,2.2,"Buenos Aires province, contains Buenos Aires city but cannot narrow it down to there hence the uncertainty. Centre point taken from google earth, extent measured to the edge of the google provided polygon's furthest extreme from the centre point."
46470,1949464,1845.5.25.31,Amphibia,Anura,Leptodactylidae,Pleurodema bufoninum,Pleurodema bufonina,Type,Argentina,Port Desire,-47.751757,-65.901312,2.06,75,2.3,"Puerto deseado, a port town in patagonia (no english name given on google maps however the Spanish translates to Port Desire). Centre point taken from googles name placement, extent measured from there to the furthest point of the polygon google supplies. Uncertainty as no english given. "
46481,1949470,1845.5.22.28,Amphibia,Anura,Leptodactylidae,Pleurodema bufoninum,Pleurodema bufonina,Type,Argentina,Port Desire,-47.751757,-65.901312,2.06,75,2.3,"Puerto deseado, a port town in patagonia (no english name given on google maps however the Spanish translates to Port Desire). Centre point taken from googles name placement, extent measured from there to the furthest point of the polygon google supplies. Uncertainty as no english given. "
46485,1949462,1933.3.7.58,Amphibia,Anura,Leptodactylidae,Pleurodema bufoninum,Pleurodema bufonina,Type,Argentina,Port Desire,-47.751757,-65.901312,2.06,75,2.3,"Puerto deseado, a port town in patagonia (no english name given on google maps however the Spanish translates to Port Desire). Centre point taken from googles name placement, extent measured from there to the furthest point of the polygon google supplies. Uncertainty as no english given. "
78456,1838070,1947.2.21.26-27,Amphibia,Anura,Bufonidae,Preistimantis ockendeni,Bufo ockendeni,Type,Bolivia,"Charaplaya, 1300m",,,,,,"Locality apparently does not exist, other taxonomic books (Systematics and Biology of the Genus Macrocneme Hubner [Lepidoptera: Ctenuchidae] + Technical Bulletin, Issues 1696-1700) indicate charaplaya=charapaya, but that locality equally cannot be found via google maps/earth"
4385,1925648,1929.8.1.127,Amphibia,Anura,Hylidae,Scinax fuscomarginatus,Hyla parkeri,Paratypes,Bolivia,Buenavista,-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
12230,1925647,1929.8.1.125-126,Amphibia,Anura,Hylidae,Scinax fuscomarginatus,Hyla parkeri,Paratypes,Bolivia,Buenavista,-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
30313,1925649,1929.8.1.128-134,Amphibia,Anura,Hylidae,Scinax fuscomarginatus,Hyla parkeri,Paratypes,Bolivia,Buenavista,-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
8448,1926019,1920.11.29.23,Amphibia,Anura,Hylidae,Boana raniceps,Hyla spegazzinii,Type,Bolivia,,-16.7146105,-64.67093144,818.95,100,2.1,"Coordinates taken from the country centroid sheet. Entered into google maps, to get pin drop. Extent measured from there to the furthest country border as shown on google maps using the measure distance tool. High certainty as locality is low resolution and relatively easy to determine."
78563,1924962,1901.8.2.47-48,Amphibia,Anura,Hylidae,Colomascirtus armatus,Hyla armata,Types,Bolivia,"La Paz, 4000m",-16.492201,-68.120535,,100,2.3,"Administrative capital.  Centroid taken from google maps designation. Altitude within La Paz polygon ranged from 3000-4300m, measuring extent is tricky because of this. Furthest point in district is 15.92km and 3021m altitude. Furthest point of 4000m altitude is 12.81km. Certian this is correct location, as no name conflicts for La Paz Bolivia came up"
78564,1925046,1902.5.29.132-141,Amphibia,Anura,Hylidae,Boana callipleura,Hyla callipleura,Types,Bolivia,"Charaplaya, 1350m",,,,,,Charaplaya not yet found
78565,1925048,1901.8.2.55,Amphibia,Anura,Hylidae,Boana callipleura,Hyla callipleura,Types,Bolivia,"S. Ernesto, 500m",,,,,,"Many streets named S Ernesto, will have to dig for this one"
78572,1926826,1901.8.2.49-50,Amphibia,Anura,Hylidae,Phyllomedusa boliviana,Phyllomedusa boliviana,Types,Bolivia,"Chulumani, 2000m",-16.409135,-67.527305,1.59,50,2.3,"Chulumani is a village or town, all of which is below 2000m (but mostly quite close e.g. 1800m) closest point that is 2000m is 1.59km away from centroid (defined by google maps default placement). Low certainty as determining extent when combining altitude and locality is difficult."
81654,1926085,1904.10.29.173-175,Amphibia,Anura,Hylidae,Boana steinbachi,Hyla steinbachi,Types,Bolivia,Prov. Sara,-16.925392,-63.628372,91.42,100,2.2,"Sara province, Bolivia. Centroid taken from google maps placement, extent measured to furthest point of province polygon provided by google maps. "
60927,1949734,1940.4.1.1-25,Amphibia,Anura,Leptodactylidae,Telmatobius culeus,Telmatobius culeus albiventris,Cotypes,Bolivia,"Taquiri, Lago Pequeno, Lake Titicaca",,,,,,"No location match in Bolivia, Taqueria in Peru (other shore of the lake) seems like closest match"
60928,1949735,1940.4.1.26-33,Amphibia,Anura,Leptodactylidae,Telmatobius culeus,Telmatobius culeus albiventris,Cotypes,Bolivia,"Lago Pequeno, Lake Titicaca",,,,,,
60929,1949736,1940.4.1.34-45,Amphibia,Anura,Leptodactylidae,Telmatobius culeus,Telmatobius culeus albiventris,Cotypes,Bolivia,"Taraco, Lago Pequeno, Lake Titicaca",-16.459766,-68.857011,0.94,50,2.3,"Taraco is a small, nuclear village near the shores of Lake Titicaca, scattered properties beyond the nucleaus also appear to be part of the village. Centroid determined by google maps, extent taken by visually inspecting where the furthest property that still appears to be associated with Taraco boundary is and measuring to it. Low certainty as the lake shore is only 2km away, so specimen could have been collected from there given the locality description."
60936,1949745,1940.4.3.9-33,Amphibia,Anura,Leptodactylidae,Telmatobius culeus,Telmatobius escomeli crawfordi,Cotypes,Bolivia,"Lagunilla Saracocha, Lake Titicaca basin",,,,,,
81702,3633522,1947.2.18.3,Amphibia,Anura,Leptodactylidae,Pseudopaludicola boliviana,"Pseudopaludicola boliviana Parker, 1927",holotype,Bolivia,"Buenavista, Santa Cruz",-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
33323,1949722,1940.4.3.83,Amphibia,Anura,Leptodactylidae,Telmatobius bolivianus,Telmatobius bolivianus,Holotype,Bolivia,"Chaco, 2600m, Unduavi R., Yungas Valley, about 25km N.W. of Puente de la Via",,,,,,
78547,1949769,1902.5.29.103,Amphibia,Anura,Leptodactylidae,Telmatobius simonsi,Telmatobius simonsi,Holotype,Bolivia,"Sucre, 2800m",-19.020476,-65.263019,6.75,75,2.3,"Sucre is a town, whose boundaries (marked by google maps polygon) encompass an area almost entirely within the 2800m altitude limit, the only exception is the southern boundary, which is slightly more mountainous, so has an altitude more like 3000m. Centroid taken from google maps default. Extent was measured from centroid to encompass both boundary and altitude, favouring the altitude limit. Locality is correct, but altitude vs boundary issues provide some uncertainty. "
81605,1949586,1927.8.1.4,Amphibia,Anura,Leptodactylidae,Pseudopaludicola boliviana,"Pseudopaludicola boliviana Parker, 1927",Paratype,Bolivia,"Buenavista, Santa Cruz",-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
81607,1949584,1927.8.1.3,Amphibia,Anura,Leptodactylidae,Pseudopaludicola boliviana,"Pseudopaludicola boliviana Parker, 1927",Paratype,Bolivia,"Buenavista, Santa Cruz",-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
81615,1949588,1927.8.1.5,Amphibia,Anura,Leptodactylidae,Pseudopaludicola boliviana,"Pseudopaludicola boliviana Parker, 1927",Paratype,Bolivia,"Buenavista, Santa Cruz",-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
81690,3633526,1947.2.18.5,Amphibia,Anura,Leptodactylidae,Pseudopaludicola boliviana,"Pseudopaludicola boliviana Parker, 1927",paratype,Bolivia,"Buenavista, Santa Cruz",-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
81700,3633524,1947.2.18.4,Amphibia,Anura,Leptodactylidae,Pseudopaludicola boliviana,"Pseudopaludicola boliviana Parker, 1927",paratype,Bolivia,"Buenavista, Santa Cruz",-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
81701,3633528,1947.2.18.6,Amphibia,Anura,Leptodactylidae,Pseudopaludicola boliviana,"Pseudopaludicola boliviana Parker, 1927",paratype,Bolivia,"Buenavista, Santa Cruz",-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
8984,1949753,1940.4.3.94,Amphibia,Anura,Leptodactylidae,Telmatobius hintoni,Telmatobius hintoni,Paratype,Bolivia,"In pool of stream, 4km below La Paz",,,,,,
17763,1949723,1940.4.3.84,Amphibia,Anura,Leptodactylidae,Telmatobius bolivianus,Telmatobius bolivianus,Paratype,Bolivia,"Chaco, 2600m, Unduavi R., Yungas Valley, about 25km N.W. of Puente de la Via",,,,,,
20426,1949752,1940.4.3.93,Amphibia,Anura,Leptodactylidae,Telmatobius hintoni,Telmatobius hintoni,Paratype,Bolivia,"Under stone near station, near La Paz",,,,,,
78550,1949772,1902.5.29.174,Amphibia,Anura,Leptodactylidae,Telmatobius simonsi,Telmatobius simonsi,Paratype,Bolivia,"Parotani, 2600m",-17.567111,-66.34713,1.86,75,2.3,"Town in Bolivia. Centroid taken from google standard (whats here pin drop), extent measured from there to edge of polygon, and watching altitude (on google earth). Extremes of polygon have approximate altitude of 2600m, so furthest extent of polygon used. Some uncertainty as nowhere in polygon matches 2600m exactly."
12505,1949751,1940.4.3.90-92,Amphibia,Anura,Leptodactylidae,Telmatobius hintoni,Telmatobius hintoni,Paratypes,Bolivia,"Pool of Jampaturi R., at Calacoto, near La Paz",,,,,,
22515,1949724,1940.4.3.85-89,Amphibia,Anura,Leptodactylidae,Telmatobius bolivianus,Telmatobius bolivianus,Paratypes,Bolivia,"Station at Hotel Michigan, near Chaco, Yungas Valley",,,,,,
78548,1949770,1902.5.29.100-101,Amphibia,Anura,Leptodactylidae,Telmatobius simonsi,Telmatobius simonsi,Paratypes,Bolivia,"Sucre, 2800m",-19.020476,-65.263019,6.75,75,2.3,"Sucre is a town, whose boundaries (marked by google maps polygon) encompass an area almost entirely within the 2800m altitude limit, the only exception is the southern boundary, which is slightly more mountainous, so has an altitude more like 3000m. Centroid taken from google maps default. Extent was measured from centroid to encompass both boundary and altitude, favouring the altitude limit. Locality is correct, but altitude vs boundary issues provide some uncertainty. "
78549,1949771,1902.5.29.104-105,Amphibia,Anura,Leptodactylidae,Telmatobius simonsi,Telmatobius simonsi,Paratypes,Bolivia,"Sucre, 2800m",-19.020476,-65.263019,6.75,75,2.3,"Sucre is a town, whose boundaries (marked by google maps polygon) encompass an area almost entirely within the 2800m altitude limit, the only exception is the southern boundary, which is slightly more mountainous, so has an altitude more like 3000m. Centroid taken from google maps default. Extent was measured from centroid to encompass both boundary and altitude, favouring the altitude limit. Locality is correct, but altitude vs boundary issues provide some uncertainty. "
34537,3633496,1947.2.17.43-45,Amphibia,Anura,Leptodactylidae,Leptodactylus bolivianus,"Leptodactylus bolivianus Boulenger, 1898",syntypes,Bolivia,"Baracca | Baracca, R. Madidi, Bolivia",,,,,,
81608,1949582,1927.8.1.2,Amphibia,Anura,Leptodactylidae,Pseudopaludicola boliviana,"Pseudopaludicola boliviana Parker, 1927",Type,Bolivia,"Buenavista, Santa Cruz",-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
14129,1949750,1929.11.12.1,Amphibia,Anura,Leptodactylidae,Telmatobius hintoni,Telmatobius hintoni,Type,Bolivia,"Tolata, Dept. Cochabamba",,,,,,
78543,1947505,1901.8.2.44,Amphibia,Anura,Leptodactylidae,Oreobates cruralis,Eleutherodactylus cruralis,Type,Bolivia,"La Paz, 4000m",-16.492201,-68.120535,,100,2.3,"Administrative capital.  Centroid taken from google maps designation. Altitude within La Paz polygon ranged from 3000-4300m, measuring extent is tricky because of this. Furthest point in district is 15.92km and 3021m altitude. Furthest point of 4000m altitude is 12.81km. Certian this is correct location, as no name conflicts for La Paz Bolivia came up"
3061,1948242,1898.6.9.24-26,Amphibia,Anura,Leptodactylidae,Leptodactylus bolivianus,"Leptodactylus bolivianus Boulenger, 1898",Types,Bolivia,"Barraca, R. Madidi",,,,,,
34714,3343589,1947.2.11.26,Amphibia,Anura,Microhylidae,Hamptophryne boliviana,"Hamptophryne boliviana Parker, 1927",holotype,Bolivia,"Buena Vista, Bolivia",-17.458829,-63.669163,2.33,100,2.3,"Town in central Bolivia. Centroid taken to be where google places town name, extent measured from there to the furthest edge of the google provided polygon of the described area. No naming conflicts came up in search so high certainty that this is the correct place. "
78651,3633338,1947.2.15.70,Amphibia,Anura,Ranidae,Oreobates cruralis,"Eleutherodactylus cruralis (Boulenger, 1902)",holotype,Bolivia,La Paz,-16.492201,-68.120535,15.18,100,2.3,"Administrative capital.  Centroid taken from google maps designation. Altitude within La Paz polygon ranged from 3000-4300m, measuring extent is tricky because of this. Furthest point in district is 15.92km and 3021m altitude. Furthest point of 4000m altitude is 12.81km. Certian this is correct location, as no name conflicts for La Paz Bolivia came up"
54995,3339683,1902.12.8.5,Amphibia,Anura,Bufonidae,Melanophryniscus tumifrons,"Melanophryniscus tumifrons (Boulenger, 1905)",holotype,Brazil,"Pernambuco, [Brazil]",-8.345814,-38.11793,376.04,100,2.2,State in eastern Brazil. Centroid found by google maps searching locality description. Taken from the what's here pin drop done on the name of the state (i.e. google default centroid). Extent measured to the furthest point of the area polygon supplied by google maps. High certainty as no naming conflicts appeared and area covered is an overestimation in several dimensions. 
15909,1838055,1947.2.21.86,Amphibia,Anura,Bufonidae,Rhinella ocellata,Bufo ocellatus,Holotype,Brazil,,-10.77310891,-53.08981994,2572.55,100,2.1,"Coordinates taken from the country centroid sheet. Entered into google maps, to get pin drop. Extent measured from there to the furthest country border as shown on google maps using the measure distance tool. High certainty as locality is low resolution and relatively easy to determine."
4905,3337517,1869.2.22.8,Amphibia,Anura,Bufonidae,Dendrophryniscus proboscideus,"Rhamphophryne proboscoidea (Boulenger, 1882)",syntype,Brazil,"Bahia, [Brazil]",-12.357982,-41.406018,685.72,100,2.2,"State in Brazil. Centroid taken from google maps, extent measured to the furthest point of the state to the centriod. This overcompensates as state is not circular, and locality provided no conflicts so high certainty. "
7567,3337541,1869.11.3.24,Amphibia,Anura,Bufonidae,Dendrophryniscus proboscideus,"Rhamphophryne proboscoidea (Boulenger, 1882)",syntype,Brazil,"Bahia, [Brazil]",-12.357982,-41.406018,685.72,100,2.2,"State in Brazil. Centroid taken from google maps, extent measured to the furthest point of the state to the centriod. This overcompensates as state is not circular, and locality provided no conflicts so high certainty. "
15411,3337543,1869.11.3.28,Amphibia,Anura,Bufonidae,Dendrophryniscus proboscideus,"Rhamphophryne proboscoidea (Boulenger, 1882)",syntype,Brazil,"Bahia, [Brazil]",-12.357982,-41.406018,685.72,100,2.2,"State in Brazil. Centroid taken from google maps, extent measured to the furthest point of the state polygon to the centriod. This overcompensates as state is not circular, and locality provided no conflicts so high certainty. "
34162,1834953,1923.11.9.15,Amphibia,Anura,Bufonidae,Rhinella nattereri,Bufo granulosus,Holotype,Brazil,"Marajo Island, mouth of the Amazon",-0.939124,-49.63819,155.88,100,2.4,"Island in the mouth of the Amazon. Western border less defined than the others as it is created by a number of smaller rivers. Centroid take from google maps pin placement, extent measured to edge of island in all directions from centriod (borders defined by unbroken waterways). High certainty as no naming conflicts appeared in search, and island extent is relatively clear. "
36045,1834959,1923.11.9.16-19,Amphibia,Anura,Bufonidae,Rhinella nattereri,Bufo granulosus,Paratypes,Brazil,"Marajo Island, mouth of the Amazon",-0.939124,-49.63819,155.88,100,2.4,"Island in the mouth of the Amazon. Western border less defined than the others as it is created by a number of smaller rivers. Centroid take from google maps pin placement, extent measured to edge of island in all directions from centriod (borders defined by unbroken waterways). High certainty as no naming conflicts appeared in search, and island extent is relatively clear. "
9062,1927274,1893.12.22.16,Amphibia,Anura,Centrolenidae,Vitreorana parvula,Centrolenella parvula,Cotype,Brazil,Teresopolis,-22.417932,-42.975393,40.13,50,2.2,"There are two Teresopolis in Brazil, sadly quite far apart. One is the Municipality located in the state or Rio de Janeiro, the other is a district of Porto Alegre, in the state of Rio grande do sul. I think it is more likely to be the municipality based on flora cover and species range (http://amphibiaweb.org:8000/cgi/amphib_query?where-genus=Dendropsophus&where-species=microps), so the coordinates are for there. Google maps searched locality description followed by 'Brazil'. Centroid is taken from google maps default (what's here pin dropped on locality name), extent measured from there to the furthest edge of area polygon provided by google maps using the measure distance tool. Low certainty as it is possible that this specimen was collected from the other Teresopolis. "
24248,1927273,1888.2.7.32,Amphibia,Anura,Centrolenidae,Vitreorana parvula,Centrolenella parvula,Cotype,Brazil,"Lages, Santa Catarina",-27.816393,-50.325704,8.48,100,2.3,"Formerly Lajens, a small town within the state of Santa Catarina. Centroid taken from google maps default, extent measured to furthest point of the google maps polygon. High certainty as both state and place name line up, and extent over compensates in several directions. "
